Misool Eco Resort,Raja Ampat,Indonesia,Private island resort,https://www.misool.info/,,"Snorkel, dive, wellness"
Treehotel ,Harads,Sweden,Treehotel,https://treehotel.se/en/,,"Nature, northern lights"
Park Hyatt Maldives Hadahaa,Hadahaa,Maldives,"Island resort, overwater bungalows",Ecuador,“Best Sustainable Hotel in Asia Pacific” 2013,"Snorkel, dive, wellness"
ION Luxury Adventure Hotel,Selfoss,Iceland,,https://ioniceland.is/,,
Soneva Kiri,Ko Kut,Thailand,Secluded luxury jungle villas,https://soneva.com/resorts/soneva-kiri/,World’s Leading Eco-Resort and Spa,"cookinng class, snorkeling"
Six Senses Yao Noi ,"Ko Yao Noi, ",Thailand),traditional luxury,https://www.sixsenses.com/en,,"unique collection of rituals, reconnection experiences and wellness"
Lion Sands game reserve,Kruger National Park,South Africa,game reserve,https://www.more.co.za/lionsands/,,wildlife safary
Hoshinoya Karuizawa,"Karuizawa, Nagano",Japan,secluded moutainside ryokan resort,https://www.hoshinoresorts.com/en/resortsandhotels/hoshinoya/karuizawa.html,,"natural hot springs, Spiritual and Physical Healing through Bathing
"
Giraffe Manor,Nairobi,Kenya,exclusive boutique hotel,https://www.thesafaricollection.com/properties/giraffe-manor,,"wildlife, local culture"
Daintree Ecolodge,Queensland,Australia,eco-resort,https://www.daintree-ecolodge.com.au/,,"rainforest, spa, local culture"
Jicaro Island Lodge,Granada,Nicaragua,private island resort,https://www.jicarolodge.com/,member of the exclusive National Geographic Unique Lodges of the World,"island tour, sustainnability tours"
Torres del Paine National Park,Torres del Paine National Park,Chile,eco-friendly contemporary hotel,https://tierrahotels.com/patagonia/,,
Madulkelle Tea and Eco Lodge,Kandy,Srilanka,Eco lodge,http://www.madulkelle.com/,,"hiking, spa, tea plantation"
Post Ranch Inn,Big Sur,United States,,https://www.postranchinn.com/,,
El Monte Sagrado,New Mexico,United States,mountain resort,https://www.elmontesagrado.com/,,
Arenas Del Mar in Manuel Antonio,,Costa Rica,beachfront luxury resort,https://www.arenasdelmar.com/,,
Shinta Mani Wild,Southern Cardamom National Park,Cambodia,glamping,https://wild.bensleycollection.com/,,"arrive via zipline and fill their visits with picnicking, hiking, and helping rangers check wilderness cameras that deter poaching"
Magashi Camp,Akagera National Park,Rwanda,safari lodge,https://www.luxurysafaricamps.com/magashi-camp-rwanda,,"migration safari, gorilla safari"
Bisate Lodge,Kinyarwanda,Rwanda,safari lodge,https://www.luxurysafarilodges.com/bisate-lodge-gorilla-safari,,"migration safari, gorilla safari"
Bawah reserve,Anambas archipelago,Indonesia,overwater bungalows ,https://www.bawahreserve.com/,,outdoor adventurers
Valsana hotel arosa,,Switzerland,mountain resort,https://valsana.ch/en,,"skiing, hiking, and lake swimming."
Isla Palenque,Gulf of Chiriqui,Panama,private island resort,https://www.islapalenque.com/,,"plant a tree, island hoping, foraging, whalewatching, kayaking"
Cannua,Antioquia,Colombia,eco resort,https://cannua.com/,,"birding, permaculture, Visit coffee farms, hike ancient trails, and spot wild parrots."
Ocean house,", British Columbia",Canada, indigenous owned,https://www.haidatourism.ca/ocean-house,,"beaches, rainforests, and protected places."
HOTEL CERRO,San Luis Obispo,United States,wellness and spa,https://www.hotelcerro.com/,,
Three Camel Lodge,,Mongolia,desert teepees,https://www.threecamellodge.com/,,"thrilling events and culture of Mongolia’s nomadic people, landscape"
Borneo Rainforest Lodge,Danum Valley Conservation Area,Malaysia,jungle lodge,http://www.borneonaturetours.com/lodge/,,"jungle tour, wildlife"
Nimmo Bay Wilderness Resort,British Columbia,Canada,Luxury retreat,https://nimmobay.com/,,"onsite waterfall, wellness, floating sauna"
Lapa Rios,Osa Peninsula,Costa Rico,jungle lodge,laparios.com,,tropical lowland rainforest
The Saffire Freycinet,Coles Bay,Tasmania,eco-friendly contemporary hotel,https://saffire-freycinet.com.au/,,"oyster farm, birdwatching, kayaking"
,,Costa Rica,,http://www.hotelpuntaislita.com/,,
Spice Island Beach Resort,Grenada,Nicaragua,Beach resort,https://www.spiceislandbeachresort.com/,,"yoga, wellness, local culture, beach"
Tierra Patagonia,Patagonia,Chile,Mountain resort,https://tierrahotels.com/patagonia,,"patagonia tours, wellness"
Morgan's Rock's,Near San Juan del Sur,Nicaragua,Beach bungalows,https://morgansrock.com/,,"nature tours, biodiversity, beaches, agrotourism"
Lefay Lago di Garda,Gargnano,Italy,beach resort,https://lagodigarda.lefayresorts.com/en,,"spa, wellness"
Jetwing Vil Uyana,Sigiriya,Srilanka,eco-luxury resort,https://www.jetwinghotels.com/jetwingviluyana/,,"wildlife, temples, local culture, elephants"
Jean-Michel Cousteau Fiji resort,,Fiji,eco-luxury resort,https://www.fijiresort.com/,,"snorkeling, dining, fiji excursions"
Hotel Terra Jackson Hole,Jackson Hole,Wyoming,ski-hotel,https://www.hotelterrajacksonhole.com/,,"national parks, wildlife, skiing"
Hotel Hangaroa,Easter Island,Chile,,https://www.hangaroa.cl/en,,"trekking, local excursions, boat rides"
Six Senses,Con Son Island,Vietnam,beach resort,https://www.sixsenses.com/en/resorts/con-dao,,"nature, local culture, beaches, trekking, diving, snorkeling"
White Pod,,Switzerland,unique stay in mountains,https://www.whitepod.com/,,"hiking, skiing, mountains"
El Nido resorts,El Nido,Phillipines,beach resort,https://www.elnidoresorts.com/,2014 – 2017 & 2019 Asia’s Responsible Tourism Award,"island hoping, water activities,"
Finca Rosa Blanca Coffee Plantation and Inn,Heredia,Costa Rica,coffee plantation inn,https://fincarosablanca.com/en,," volcanoes and cloud forest tours, white water rafting and spectacular waterfalls, coffee highlands and wellness getaways."
Campi ya Kenya,Mtito Andei,Kenya,safari lodge,https://maasai.com/,,"wildlife, safari, local culture"
Chumbe Island Coral Park,Zanzibar,Tanzania,eco-bungalows,https://chumbeisland.com/,,"coral reef, forests, wildlife"
Blackrock Lodge,,Belize,eco-lodge,https://www.blackrocklodge.com/,,"birding, forests, wildlife"
Adrère Amellal,,Egypt,eco-lodge,http://www.adrereamellal.net/,,desert and cultural excursions
Sol y Luna,Urubamba,Peru,eco lodge,https://www.hotelsolyluna.com/,"we generate the income that sustains the Sol y Luna Intercultural School, family-owned","nature, local culture, trekking"
Inkaterra,Urubamba,Peru,eco-luxury lodge,https://www.inkaterra.com/inkaterra/inkaterra-hacienda-urubamba/rooms/,"organic plantation, bleans into local culture","nature, local culture, trekking"
INKATERRA RESERVA AMAZÓNICA,TAMBOPATA,Peru,eco-luxury lodge,https://www.inkaterra.com/inkaterra/inkaterra-reserva-amazonica/the-experience/,amazon rainforest,amazon rainforest
Explora Patagonia,Patagonia National Prak,Chile,eco-luxury lodge,https://www.explora.com/hotels-and-travesias/patagonia-national-park-chile/,Conservation,"hiking, national parks, bucket list, ecplorations, glaciers"
Explora El Chalten,El Chalten,Argentina,eco-luxury lodge,https://www.explora.com/hotels-and-travesias/el-chalten-patagonia-argentina-new/,Conservation,"hiking, national parks, bucket list, ecplorations, glaciers"
Explora Machu Pichu,Sacred Valley,Peru,eco-luxury lodge,https://www.explora.com/machu-picchu-sacred-valley-peru/,Conservation,"nature, local culture, trekking"
Explora Atacama,Atacama Desert,Chile,eco-luxury lodge,https://www.explora.com/atacama-hotel/,Conservation,"desert, horseback riding, hot springs"
Explora Torres Del Paine,Torres Del Paine,Chile,eco-luxury lodge,https://www.explora.com/patagonia-hotel/,Conservation,"hiking, national parks, bucket list, ecplorations, glaciers"
Topas eco lodge,Sapa,Vietnam,eco-luxury lodge,https://topasecolodge.com/,Local culture,"nature, local culture, trekking"
The Brando,Tetiaroa,French Polynesia,private island resort,https://thebrando.com/,Conservation and education of marine biodiversity,"diving, snorkeling, beach, tropics "
Duba Expedition Camp,Okavango Delta,Botswana,safari lodge,https://www.okavangodelta.com/camps/duba-expedition-camp/,Wildlife conservation,"safari, boating, fishing, wildlife"
Tsara Komba Luxury Beach & Forest Lodge,Lemur Island,Madagascar,Caring Luxury Ecolodge,http://tsarakomba.com/en,"environment, economy and society in harmony","snorkeling, dining, island excursions, forest"
Aristi Mountain Resort & Villas,,Greece,mountain resort,https://www.aristi.eu/en/aristi-mountain-resort,Authentic,"cooking, rafting, winery, hiking"
Husafell,Highlands,Iceland,eco lodge,https://www.husafell.com/,One with nature,"geothermal pools, northern lights, waterfalls, nature"
O’Reilly’s Rainforest Retreat,Gold Coast,Australia,eco-luxury lodge,https://oreillys.com.au/,,"wildlife, winery, forest"
Copal tree lodge,,Belize,eco-luxury lodge,https://www.copaltreelodge.com/,Philanthrophy,"jungle, wellness, agritourism,snorkeling"
Within the wild lodge,Alaska,USA,eco resort,https://withinthewild.com/lodges/winterlake-lodge/,"Remote, small","heli-ride, outdoors"
Tutka bay lodge,Alaska,USA,eco resort,https://withinthewild.com/lodges/tutka-bay-lodge/,"Remote, small","heli-ride, outdoors"
Sierra Grande resort,New Mexico,USA,eco resort,https://tedturnerreserves.com/sierra-grande/,unique wilderness property,
Milia Mountain Retreat,Crete,Greece,ecolodge,https://www.tripadvisor.in/Hotel_Review-g1191172-d274194-Reviews-Milia_Mountain_Retreat-Milia_Kissamos_Chania_Prefecture_Crete.html,Built with rocks,
Cristanino Lodge,,Brazil,wood-and-tile bungalows,http://cristalinolodge.com.br/en,,
Laguna Eco Lodge,Lake Atitlan,Guatemala,,https://thelagunalodge.com/,Conservation,
Haecinda Santa Rosa,Merida,Mexica,family-owned plantation house,https://www.tripadvisor.in/Hotel_Review-g15484966-d184763-Reviews-Hacienda_Santa_Rosa_A_Luxury_Collection_Hotel_Santa_Rosa-Santa_Rosa_Yucatan_Peninsula.html,,hidden cenotes
PACUARE LODGE,,Costa Rica,eco-hotel,https://www.pacuarelodge.com/,high-biodiversity rain forest,
Evolve back Kabini,Karnataka,Gokarna,jungle resort,https://www.evolveback.com/kabini/,National park,"tigers, wildlife safari"
Sovena Fushi,,Maldives,beach resort,https://soneva.com/resorts/soneva-fushi/,UNESCO Biosphere Reserve,"snorkeling, dining, island excursions, forest"
MASHPI LODGE,,Ecuador,rainforest hotel,https://www.mashpilodge.com/,biodiversity hotspot,
Nayara tented camp,,Costa Rica,rainforest hotel,https://nayaratentedcamp.com/,"Sloth conservation, reforestation",
Swaswara,Gokarna,India,eco-lodge,https://www.cghearth.com/swaswara,"Earthe-centered, community programmes","yoga and meditation, ayurveda, healing, beaches, hiking"
Habitas,,Namibia,,https://ourhabitas.com/namibia/,,
El Silencio Lodge & Spa,,,,https://www.elsilenciolodge.com/,,
Bucuti,,Aruba,,https://www.bucuti.com/,,
,,Namibia,,https://ourhabitas.com/namibia/,,
Natura Cabana,Cabarete,Dominican republic,eco-resort,https://naturacabana.com/,,"yoga, spa, beaches"
Dominican tree house village,Samana,Dominican republic,eco-resort,https://dominicantreehousevillage.com/,,"yoga, beaches, local excursions, ziplining"
North Island,,Seychelles,private island resort,https://www.north-island.com/,,
Manyara tree lodge,,Tanzania,,https://www.andbeyond.com/our-lodges/africa/tanzania/lake-manyara-national-park/andbeyond-lake-manyara-tree-lodge/,,
Rosewood Maakoba,Riviera Maya,Mexico,,https://m.rosewoodhotels.com/en/mayakoba-riviera-maya/overview/about,,
Alder Ritten,Dolomites,Italy,,https://www.adler-resorts.com/en/adler-lodge-ritten/73-0.html,,
Pineta Naturelodge,Trentino,Italy,,https://www.pinetahotels.com/en/,,
Amorgos Aegialis,,Greece,,https://amorgos-aegialis.com/,,
The datai Langwaki,Langwaki,Malaysia,beach resort,https://www.thedatai.com/,,
The ranch Malibu,Los Angeles,USA,wellness resort,https://theranchmalibu.com/,,
Alladale,Scottish Highlands,Scottland,,https://alladale.com/,,
Nomade,Tulum,Mexico,,https://nomadetulum.com/index.html,,
Scarlett Hotel,Cornwall,UK,,https://www.scarlethotel.co.uk/,,
Tivoli Ecoresort,Salvador,Brazil,,https://www.tivolihotels.com/en/tivoli-ecoresort-praia-do-forte,,
Tri Lanka,,Sri Lanka,eco resort,https://www.trilanka.com/,,
Fogo Island Inn,Newfoundland,Canada,,https://fogoislandinn.ca/,,
Villa Le Barone,Chianti,Italy,,https://villalebarone.com/,,
Areias do Seixo,,Portugal,,https://www.areiasdoseixo.com/,,
Six Senses Duaro valley,,Portugal,,https://www.sixsenses.com/en/resorts/douro-valley,,
,,,,https://www.sixsenses.com/en/resorts/bhutan/lodges/six-senses-punakha,,
Chobe Game lodge,,Botswana,,https://www.chobegamelodge.com/,,
Bwindi Lodge,,Uganda,,https://volcanoessafaris.com/bwindi-lodge-uganda/,,
Wolwedans Dune lodge,,Namibia,,https://www.wolwedans.com/lodges-camps/dunes-lodge/,,
Gondwana Hakusembe river lodge,,Namibia,,http://store.gondwana-collection.com/accommodation/hakusembe-river-lodge,,